FILE_VERSION	2.0.0
NO_OF_FRAMES	6129
NO_OF_CAMERAS	19
NO_OF_MARKERS	5
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2024-10-29, 10:57:32.417	441368.71789840
DATA_INCLUDED	3D
MARKER_NAMES	RWristOut	RWristIn	RElbowOut	RElbowIn	Chest
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	RWristOut X	RWristOut Y	RWristOut Z	RWristIn X	RWristIn Y	RWristIn Z	RElbowOut X	RElbowOut Y	RElbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	Chest X	Chest Y	Chest Z	
1291	12.90000	-235.523	1259.601	-468.198	-159.743	1238.830	-513.491	-347.988	1268.653	-647.704	-284.733	1199.388	-671.401	-240.102	1288.150	-893.020
1292	12.91000	-230.497	1255.732	-470.269	-155.230	1235.269	-516.660	-345.096	1266.536	-648.350	-282.289	1197.256	-673.298	-239.910	1288.019	-892.916
1293	12.92000	-225.405	1251.907	-472.422	-150.791	1231.816	-520.005	-342.206	1264.501	-649.069	-279.811	1195.232	-675.288	-239.728	1287.940	-892.817
1294	12.93000	-220.350	1248.316	-474.685	-146.416	1228.466	-523.375	-339.327	1262.601	-649.855	-276.948	1193.247	-677.649	-239.517	1287.839	-892.716
1295	12.94000	-215.297	1245.028	-477.012	-142.077	1225.226	-526.772	-336.560	1260.805	-650.646	-275.542	1191.095	-679.082	-239.348	1287.754	-892.638
1296	12.95000	-210.214	1242.079	-479.359	-138.024	1221.933	-530.161	-333.773	1259.124	-651.416	-273.363	1189.339	-680.931	-239.179	1287.691	-892.548
1297	12.96000	-205.196	1239.318	-481.777	-133.857	1218.915	-533.621	-331.048	1257.549	-652.195	-271.220	1187.641	-682.718	-239.014	1287.632	-892.479
1298	12.97000	-200.147	1236.808	-484.248	-129.671	1216.059	-537.153	-328.280	1256.147	-652.960	-269.170	1186.075	-684.482	-238.854	1287.566	-892.410
1299	12.98000	-195.223	1234.409	-486.871	-125.466	1213.376	-540.901	-325.555	1254.940	-653.774	-267.187	1184.679	-686.232	-238.688	1287.476	-892.330
1300	12.99000	-190.239	1232.243	-489.508	-121.318	1210.876	-544.697	-322.892	1253.844	-654.605	-265.265	1183.358	-687.997	-238.512	1287.425	-892.211
1301	13.00000	-185.296	1230.255	-492.207	-117.452	1208.454	-548.363	-320.260	1252.932	-655.462	-263.503	1182.040	-689.729	-238.347	1287.394	-892.156
1302	13.01000	-180.358	1228.525	-494.952	-113.530	1206.308	-552.148	-317.671	1252.150	-656.282	-261.808	1181.026	-691.384	-238.208	1287.334	-892.090
1303	13.02000	-175.443	1227.040	-497.701	-109.613	1204.423	-555.978	-315.144	1251.512	-657.090	-260.155	1180.081	-692.941	-238.057	1287.285	-892.024
1304	13.03000	-170.573	1225.830	-500.468	-105.822	1202.746	-559.774	-312.633	1250.984	-657.826	-258.569	1179.106	-694.422	-237.915	1287.235	-891.962
1305	13.04000	-165.762	1224.869	-503.238	-102.048	1201.351	-563.636	-310.147	1250.557	-658.560	-256.919	1178.479	-695.939	-237.788	1287.194	-891.898
1306	13.05000	-161.013	1224.165	-506.072	-98.365	1200.155	-567.481	-307.714	1250.315	-659.310	-255.353	1177.959	-697.339	-237.671	1287.157	-891.825
1307	13.06000	-156.307	1223.687	-508.928	-94.816	1199.195	-571.337	-305.326	1250.257	-660.045	-253.863	1177.473	-698.693	-237.553	1287.142	-891.745
1308	13.07000	-151.645	1223.423	-511.785	-91.258	1198.516	-575.185	-302.982	1250.352	-660.735	-252.441	1177.248	-699.909	-237.417	1287.108	-891.675
1309	13.08000	-146.989	1223.376	-514.625	-87.751	1198.031	-579.006	-300.689	1250.596	-661.414	-251.041	1177.218	-701.026	-237.297	1287.079	-891.601
1310	13.09000	-142.403	1223.630	-517.501	-84.285	1197.774	-582.821	-298.431	1250.981	-662.045	-249.964	1177.504	-701.754	-237.181	1287.049	-891.554
1311	13.10000	-137.852	1224.164	-520.409	-81.394	1197.373	-586.362	-296.213	1251.547	-662.630	-248.596	1177.713	-702.724	-237.085	1287.012	-891.478
1312	13.11000	-133.329	1225.050	-523.325	-78.201	1197.400	-590.016	-294.029	1252.353	-663.220	-247.289	1178.058	-703.564	-236.968	1286.988	-891.412
1313	13.12000	-128.817	1226.248	-526.185	-75.104	1197.676	-593.600	-291.863	1253.321	-663.750	-246.040	1178.649	-704.264	-236.860	1286.964	-891.345
1314	13.13000	-124.359	1227.779	-529.030	-72.097	1198.220	-597.116	-289.770	1254.483	-664.222	-244.829	1179.359	-704.792	-236.761	1286.969	-891.291
1315	13.14000	-119.986	1229.588	-531.824	-69.173	1199.048	-600.553	-287.702	1255.834	-664.659	-243.619	1180.281	-705.145	-236.688	1286.957	-891.257
1316	13.15000	-115.686	1231.679	-534.586	-66.325	1200.265	-603.951	-285.717	1257.333	-665.024	-242.437	1181.319	-705.464	-236.571	1286.920	-891.218
1317	13.16000	-111.519	1233.969	-537.329	-63.588	1201.766	-607.295	-283.770	1259.009	-665.364	-241.216	1182.563	-705.639	-236.475	1286.927	-891.146
1318	13.17000	-107.464	1236.398	-540.050	-60.882	1203.601	-610.619	-281.917	1260.805	-665.661	-240.065	1183.988	-705.680	-236.385	1286.894	-891.080
1319	13.18000	-103.539	1239.010	-542.766	-58.243	1205.737	-613.938	-280.111	1262.738	-665.955	-238.906	1185.636	-705.754	-236.272	1286.891	-890.983
1320	13.19000	-99.688	1241.848	-545.486	-55.689	1208.080	-617.225	-278.409	1264.818	-666.247	-237.719	1187.375	-705.814	-236.170	1286.913	-890.875
1321	13.20000	-95.925	1244.995	-548.236	-53.194	1210.650	-620.436	-276.776	1267.000	-666.512	-236.548	1189.245	-705.757	-236.022	1286.990	-890.770
1322	13.21000	-92.261	1248.478	-550.960	-50.819	1213.551	-623.620	-275.216	1269.397	-666.760	-235.453	1191.392	-705.632	-235.858	1287.147	-890.635
1323	13.22000	-88.738	1252.264	-553.653	-48.550	1216.705	-626.669	-273.690	1271.897	-666.992	-234.426	1193.672	-705.170	-235.615	1287.342	-890.433
1324	13.23000	-85.314	1256.309	-556.250	-46.385	1220.143	-629.659	-272.217	1274.577	-667.185	-233.287	1196.129	-705.053	-235.698	1286.949	-890.352
1325	13.24000	-82.088	1260.519	-558.795	-44.300	1223.941	-632.538	-270.823	1277.495	-667.426	-232.140	1198.660	-704.870	-235.748	1286.921	-890.273
1326	13.25000	-79.087	1264.919	-561.340	-42.313	1227.982	-635.386	-269.444	1280.478	-667.650	-230.933	1201.383	-704.682	-235.579	1287.067	-890.086
1327	13.26000	-76.089	1269.465	-563.804	-40.383	1232.189	-638.196	-268.154	1283.558	-667.924	-229.816	1204.266	-704.439	-235.123	1287.583	-889.789
1328	13.27000	-73.220	1274.193	-566.264	-38.544	1236.569	-640.966	-266.909	1286.828	-668.158	-228.678	1207.261	-704.224	-235.048	1287.522	-889.639
1329	13.28000	-70.442	1279.124	-568.725	-36.740	1241.205	-643.716	-265.707	1290.169	-668.385	-227.594	1210.431	-703.939	-235.589	1287.039	-889.612
1330	13.29000	-67.784	1284.272	-571.195	-35.033	1246.060	-646.416	-264.600	1293.571	-668.603	-226.549	1213.636	-703.627	-234.940	1287.656	-889.352
1331	13.30000	-65.300	1289.551	-573.646	-33.373	1251.130	-649.114	-263.566	1297.000	-668.843	-225.458	1216.885	-703.304	-235.319	1287.480	-889.207
1332	13.31000	-62.963	1294.997	-576.036	-31.815	1256.409	-651.732	-262.634	1300.500	-669.052	-224.327	1220.258	-703.015	-235.846	1287.197	-889.145
1333	13.32000	-60.805	1300.565	-578.400	-30.403	1261.773	-654.269	-261.737	1304.061	-669.307	-223.328	1223.769	-702.821	-235.915	1287.255	-888.952
1334	13.33000	-58.785	1306.251	-580.679	-29.062	1267.276	-656.727	-260.912	1307.699	-669.589	-222.255	1227.287	-702.555	-236.002	1287.296	-888.767
1335	13.34000	-56.921	1312.039	-582.930	-27.853	1272.856	-659.094	-260.159	1311.433	-669.925	-221.271	1231.122	-702.044	-236.090	1287.333	-888.585
1336	13.35000	-55.247	1317.908	-585.101	-26.731	1278.554	-661.382	-259.436	1315.309	-670.275	-220.314	1234.852	-701.731	-236.156	1287.381	-888.364
1337	13.36000	-53.858	1323.886	-587.237	-25.745	1284.311	-663.600	-258.826	1319.148	-670.704	-219.422	1238.651	-701.418	-236.260	1287.416	-888.146
1338	13.37000	-52.531	1329.965	-589.402	-24.919	1290.113	-665.776	-258.297	1323.093	-671.124	-218.611	1242.437	-701.115	-236.335	1287.503	-887.941
1339	13.38000	-51.351	1336.157	-591.540	-24.187	1295.996	-667.910	-257.895	1327.024	-671.600	-217.851	1246.280	-700.852	-236.463	1287.606	-887.713
1340	13.39000	-50.360	1342.459	-593.706	-23.561	1301.901	-670.021	-257.605	1330.917	-672.090	-217.110	1250.215	-700.593	-236.573	1287.693	-887.504
1341	13.40000	-49.510	1348.864	-595.883	-23.085	1307.848	-672.046	-257.640	1334.859	-672.548	-216.473	1254.147	-700.321	-236.805	1287.729	-887.301
1342	13.41000	-48.838	1355.382	-598.040	-22.698	1313.862	-674.047	-257.537	1338.839	-673.044	-215.904	1258.153	-700.050	-237.221	1287.574	-887.136
1343	13.42000	-48.310	1361.992	-600.189	-22.638	1319.796	-675.799	-257.518	1342.874	-673.505	-215.372	1262.264	-699.746	-237.163	1287.880	-886.868
1344	13.43000	-47.938	1368.674	-602.261	-22.554	1325.992	-677.427	-257.621	1346.848	-673.995	-215.037	1266.295	-699.425	-237.325	1287.966	-886.654
1345	13.44000	-47.758	1375.327	-604.273	-22.893	1332.340	-679.283	-257.781	1350.872	-674.488	-214.624	1270.375	-699.132	-237.517	1288.055	-886.431
1346	13.45000	-47.746	1381.963	-606.162	-23.214	1338.419	-680.877	-258.081	1354.912	-674.990	-214.274	1274.575	-698.913	-237.709	1288.139	-886.176
1347	13.46000	-47.881	1388.545	-607.977	-23.472	1344.717	-682.597	-258.436	1359.005	-675.545	-213.993	1278.731	-698.660	-237.973	1288.200	-885.960
1348	13.47000	-48.164	1395.167	-609.749	-23.609	1351.127	-684.610	-258.898	1363.136	-676.086	-213.829	1283.023	-698.395	-238.198	1288.268	-885.692
1349	13.48000	-48.506	1401.787	-611.567	-23.633	1357.684	-686.663	-259.439	1367.277	-676.651	-213.789	1287.350	-698.018	-238.382	1288.480	-885.444
1350	13.49000	-49.090	1408.458	-613.365	-24.246	1363.964	-688.266	-260.043	1371.378	-677.165	-213.963	1291.584	-697.603	-238.650	1288.528	-885.219
1351	13.50000	-49.851	1415.134	-615.114	-25.128	1370.160	-689.614	-260.795	1375.526	-677.713	-214.159	1295.917	-697.155	-238.938	1288.549	-885.010
1352	13.51000	-50.753	1421.798	-616.856	-26.008	1376.354	-691.059	-261.700	1379.621	-678.202	-214.409	1300.177	-696.678	-239.201	1288.737	-884.738
1353	13.52000	-51.855	1428.449	-618.518	-27.042	1382.469	-692.452	-262.655	1383.666	-678.681	-214.730	1304.405	-696.266	-239.388	1288.906	-884.501
1354	13.53000	-53.093	1435.046	-620.086	-28.138	1388.596	-693.511	-263.785	1387.695	-679.208	-215.121	1308.663	-695.847	-239.596	1289.010	-884.275
1355	13.54000	-54.515	1441.591	-621.550	-29.373	1394.660	-694.675	-264.955	1391.693	-679.736	-215.544	1313.197	-695.592	-239.811	1289.155	-884.021
1356	13.55000	-56.077	1448.084	-622.989	-30.708	1400.706	-695.736	-266.171	1395.657	-680.320	-216.179	1317.406	-695.180	-240.053	1289.303	-883.734
1357	13.56000	-57.807	1454.532	-624.351	-32.202	1406.229	-696.636	-267.494	1399.546	-680.912	-216.901	1321.656	-694.807	-240.283	1289.451	-883.474
1358	13.57000	-59.708	1460.987	-625.721	-33.795	1412.204	-697.581	-269.171	1403.230	-681.355	-217.645	1325.827	-694.399	-240.498	1289.601	-883.226
1359	13.58000	-61.748	1467.336	-626.999	-35.505	1418.187	-698.521	-270.743	1406.899	-681.811	-218.470	1329.887	-694.001	-240.716	1289.754	-882.973
1360	13.59000	-63.965	1473.602	-628.233	-37.389	1424.101	-699.367	-272.444	1410.536	-682.244	-219.367	1333.914	-693.602	-240.976	1289.884	-882.725
1361	13.60000	-66.289	1479.816	-629.383	-39.362	1429.838	-700.204	-274.160	1414.097	-682.637	-220.334	1337.916	-693.146	-241.215	1290.010	-882.478
1362	13.61000	-68.763	1485.756	-630.334	-41.634	1434.515	-701.862	-275.936	1417.616	-683.093	-221.431	1341.801	-692.667	-241.463	1290.119	-882.224
1363	13.62000	-71.367	1491.706	-631.244	-43.832	1439.977	-702.176	-277.754	1420.969	-683.570	-222.546	1345.577	-692.202	-241.726	1290.248	-881.953
1364	13.63000	-74.119	1497.593	-632.046	-46.001	1445.573	-702.259	-279.640	1424.276	-684.053	-223.920	1349.162	-691.704	-241.971	1290.417	-881.695
1365	13.64000	-77.002	1503.340	-632.775	-48.169	1451.293	-702.327	-281.591	1427.527	-684.476	-225.202	1352.810	-691.270	-242.239	1290.532	-881.449
1366	13.65000	-79.974	1508.968	-633.426	-50.464	1456.981	-702.419	-283.677	1430.675	-685.001	-226.518	1356.554	-690.979	-242.536	1290.649	-881.210
1367	13.66000	-83.084	1514.596	-634.027	-52.786	1462.506	-702.466	-285.830	1433.785	-685.513	-228.030	1360.150	-690.579	-242.777	1290.787	-880.977
1368	13.67000	-86.319	1520.107	-634.607	-55.243	1467.939	-702.477	-288.073	1436.881	-686.043	-229.566	1363.768	-690.223	-243.031	1290.902	-880.707
1369	13.68000	-89.703	1525.547	-635.114	-57.732	1473.174	-702.493	-290.366	1439.850	-686.495	-231.110	1367.175	-689.818	-243.289	1291.017	-880.488
1370	13.69000	-93.151	1530.842	-635.612	-60.355	1478.586	-702.433	-292.741	1442.697	-687.004	-232.693	1370.583	-689.423	-243.563	1291.158	-880.242
1371	13.70000	-96.730	1535.984	-635.928	-63.136	1483.700	-702.173	-295.135	1445.412	-687.494	-234.416	1373.872	-689.102	-243.869	1291.313	-879.996
1372	13.71000	-100.384	1540.919	-636.100	-65.985	1488.674	-701.884	-297.582	1448.036	-687.995	-236.549	1376.980	-688.464	-244.152	1291.481	-879.743
1373	13.72000	-104.086	1545.671	-636.178	-68.511	1493.000	-700.378	-300.132	1450.543	-688.521	-238.672	1380.146	-687.716	-244.449	1291.683	-879.448
1374	13.73000	-107.862	1550.339	-636.186	-71.500	1497.815	-699.789	-302.728	1453.028	-689.041	-239.806	1383.004	-688.621	-244.814	1291.846	-879.200
1375	13.74000	-111.720	1554.863	-636.205	-74.561	1502.424	-699.380	-305.364	1455.408	-689.558	-241.887	1385.979	-688.279	-245.167	1291.988	-878.947
1376	13.75000	-115.712	1559.264	-636.171	-77.673	1506.947	-699.042	-308.045	1457.674	-689.994	-244.095	1388.819	-687.860	-245.543	1292.105	-878.699
1377	13.76000	-119.846	1563.487	-636.117	-80.981	1511.386	-698.681	-310.791	1459.785	-690.370	-246.299	1391.580	-687.491	-245.907	1292.225	-878.461
1378	13.77000	-124.025	1567.619	-635.961	-84.285	1515.676	-698.179	-313.571	1461.800	-690.724	-248.481	1394.165	-687.107	-246.274	1292.311	-878.189
1379	13.78000	-128.395	1571.451	-635.587	-87.731	1519.950	-697.769	-316.404	1463.663	-691.057	-250.754	1396.669	-686.728	-246.645	1292.453	-877.979
1380	13.79000	-132.657	1575.167	-635.139	-91.169	1524.051	-697.142	-319.232	1465.460	-691.472	-253.026	1399.045	-686.370	-247.034	1292.579	-877.740
1381	13.80000	-136.958	1578.747	-634.607	-94.663	1528.120	-696.574	-322.108	1467.137	-691.934	-255.306	1401.342	-685.991	-247.439	1292.752	-877.487
1382	13.81000	-141.312	1582.129	-633.979	-98.276	1532.064	-695.964	-325.025	1468.631	-692.372	-257.656	1403.492	-685.656	-247.855	1292.907	-877.287
1383	13.82000	-145.733	1585.385	-633.336	-101.920	1535.882	-695.342	-327.982	1470.011	-692.726	-260.020	1405.535	-685.342	-248.257	1293.020	-877.093
1384	13.83000	-150.216	1588.518	-632.671	-105.902	1539.714	-694.687	-330.979	1471.274	-693.006	-262.460	1407.435	-684.947	-248.728	1293.098	-876.908
1385	13.84000	-154.777	1591.515	-632.021	-109.590	1543.012	-693.766	-334.064	1472.400	-693.147	-264.938	1409.250	-684.521	-249.180	1293.149	-876.715
1386	13.85000	-159.414	1594.435	-631.314	-113.417	1546.251	-692.738	-337.053	1473.394	-693.405	-267.456	1410.950	-684.021	-249.605	1293.192	-876.546
1387	13.86000	-164.147	1597.208	-630.519	-117.237	1549.376	-691.623	-339.992	1474.178	-693.228	-270.018	1412.482	-683.428	-250.015	1293.258	-876.411
1388	13.87000	-168.937	1599.819	-629.616	-121.209	1552.453	-690.435	-343.046	1474.903	-693.247	-272.556	1413.855	-682.856	-250.427	1293.341	-876.254
1389	13.88000	-173.759	1602.212	-628.511	-125.199	1555.450	-689.200	-346.099	1475.502	-693.227	-275.074	1415.080	-682.271	-250.868	1293.463	-876.099
1390	13.89000	-178.617	1604.390	-627.290	-129.251	1558.352	-687.876	-349.154	1475.935	-693.229	-277.634	1416.177	-681.767	-251.280	1293.561	-875.952
1391	13.90000	-183.467	1606.407	-625.928	-133.309	1561.096	-686.477	-352.267	1476.302	-693.223	-280.232	1417.197	-681.283	-251.692	1293.642	-875.800
1392	13.91000	-188.383	1608.260	-624.539	-137.407	1563.721	-684.964	-355.413	1476.592	-693.109	-282.853	1418.146	-680.773	-252.169	1293.711	-875.657
1393	13.92000	-193.387	1610.029	-623.091	-141.526	1566.214	-683.345	-358.530	1476.758	-692.895	-285.456	1418.995	-680.268	-252.563	1293.776	-875.529
1394	13.93000	-198.428	1611.702	-621.637	-145.718	1568.504	-681.592	-361.689	1476.778	-692.678	-288.126	1419.719	-679.683	-252.985	1293.824	-875.435
1395	13.94000	-203.540	1613.263	-620.164	-150.122	1570.580	-679.636	-364.794	1476.712	-692.455	-290.806	1420.404	-679.030	-253.407	1293.854	-875.367
1396	13.95000	-208.698	1614.642	-618.577	-154.358	1572.578	-677.686	-367.898	1476.560	-692.217	-293.508	1420.971	-678.278	-253.834	1293.899	-875.271
1397	13.96000	-213.875	1615.826	-616.868	-158.638	1574.441	-675.658	-371.098	1476.339	-691.908	-296.248	1421.397	-677.560	-254.224	1293.947	-875.199
1398	13.97000	-218.960	1616.685	-614.899	-162.961	1576.213	-673.545	-374.315	1476.038	-691.586	-299.035	1421.719	-676.809	-254.617	1294.004	-875.121
1399	13.98000	-224.162	1617.432	-612.888	-167.297	1577.812	-671.321	-377.556	1475.636	-691.282	-301.902	1421.932	-676.104	-254.987	1294.042	-875.064
1400	13.99000	-229.434	1618.045	-610.857	-171.722	1579.219	-669.058	-380.852	1475.096	-690.937	-304.840	1422.017	-675.396	-255.360	1294.073	-874.991
1401	14.00000	-234.716	1618.501	-608.812	-176.160	1580.471	-666.688	-384.170	1474.532	-690.612	-307.772	1422.048	-674.652	-255.703	1294.106	-874.913
1402	14.01000	-240.051	1618.769	-606.683	-180.594	1581.532	-664.242	-387.312	1473.653	-690.508	-310.797	1421.964	-673.841	-256.088	1294.115	-874.859
1403	14.02000	-245.407	1618.950	-604.553	-185.110	1582.357	-661.703	-390.664	1472.944	-690.179	-313.902	1421.740	-672.977	-256.417	1294.132	-874.826
1404	14.03000	-250.825	1618.904	-602.372	-189.627	1583.016	-659.103	-394.046	1472.064	-689.760	-317.106	1421.404	-672.048	-256.761	1294.144	-874.811
1405	14.04000	-256.273	1618.664	-600.094	-194.274	1583.551	-656.420	-397.441	1471.043	-689.349	-320.259	1420.876	-671.086	-257.077	1294.207	-874.799
1406	14.05000	-261.770	1618.127	-597.725	-199.040	1583.925	-653.812	-400.801	1469.872	-688.913	-323.412	1420.140	-670.170	-257.370	1294.243	-874.773
1407	14.06000	-267.236	1617.319	-595.460	-203.792	1584.131	-651.107	-404.196	1468.504	-688.498	-326.557	1419.248	-669.271	-257.687	1294.278	-874.776
1408	14.07000	-272.778	1616.320	-592.949	-208.646	1584.127	-648.379	-407.644	1466.941	-688.057	-329.782	1418.191	-668.436	-257.998	1294.337	-874.760
1409	14.08000	-278.294	1615.108	-590.348	-213.419	1583.967	-645.587	-411.109	1465.260	-687.585	-333.020	1416.997	-667.693	-258.279	1294.374	-874.770
1410	14.09000	-283.842	1613.771	-587.755	-218.249	1583.586	-642.707	-414.541	1463.471	-687.126	-336.210	1415.634	-666.869	-258.586	1294.430	-874.785
1411	14.10000	-289.428	1612.261	-585.147	-223.088	1583.005	-639.718	-418.039	1461.603	-686.589	-339.453	1414.237	-665.987	-258.917	1294.440	-874.816
1412	14.11000	-295.033	1610.565	-582.559	-227.893	1582.241	-636.687	-421.431	1459.585	-686.034	-342.698	1412.717	-665.102	-259.240	1294.468	-874.871
1413	14.12000	-300.680	1608.710	-579.935	-232.805	1581.269	-633.636	-424.870	1457.464	-685.502	-345.942	1411.008	-664.168	-259.519	1294.481	-874.924
1414	14.13000	-306.306	1606.544	-577.213	-237.708	1580.090	-630.483	-428.297	1455.210	-684.964	-349.175	1409.159	-663.266	-259.796	1294.490	-874.940
1415	14.14000	-311.838	1604.163	-574.374	-242.578	1578.776	-627.373	-431.721	1452.917	-684.501	-352.466	1407.206	-662.495	-260.049	1294.506	-874.954
1416	14.15000	-317.345	1601.577	-571.485	-247.572	1577.268	-624.162	-435.075	1450.535	-684.118	-355.668	1405.171	-661.766	-260.323	1294.514	-874.973
1417	14.16000	-322.791	1598.847	-568.639	-252.345	1575.529	-620.858	-438.432	1448.069	-683.770	-358.911	1403.076	-661.106	-260.619	1294.521	-874.986
1418	14.17000	-328.218	1595.949	-565.774	-257.069	1573.626	-617.513	-441.722	1445.579	-683.457	-362.111	1400.908	-660.490	-260.919	1294.529	-875.007
1419	14.18000	-333.691	1592.989	-563.002	-261.808	1571.520	-614.117	-445.006	1442.987	-683.070	-365.322	1398.649	-659.785	-261.209	1294.546	-875.037
1420	14.19000	-339.168	1589.868	-560.243	-266.573	1569.241	-610.722	-448.269	1440.242	-682.708	-368.512	1396.193	-659.057	-261.502	1294.538	-875.095
1421	14.20000	-344.620	1586.577	-557.421	-271.338	1566.854	-607.341	-451.491	1437.472	-682.356	-371.678	1393.611	-658.292	-261.794	1294.525	-875.166
1422	14.21000	-349.997	1583.151	-554.521	-276.065	1564.376	-603.902	-454.618	1434.642	-681.960	-374.826	1390.971	-657.580	-262.078	1294.549	-875.223
1423	14.22000	-355.304	1579.491	-551.534	-280.771	1561.767	-600.434	-457.788	1431.820	-681.602	-377.933	1388.276	-656.858	-262.349	1294.565	-875.270
1424	14.23000	-360.496	1575.688	-548.460	-285.383	1559.076	-596.887	-460.840	1429.008	-681.280	-380.966	1385.600	-656.191	-262.637	1294.540	-875.340
1425	14.24000	-365.670	1571.755	-545.417	-289.947	1556.160	-593.343	-463.868	1426.190	-680.916	-383.997	1382.954	-655.532	-262.929	1294.519	-875.408
1426	14.25000	-370.772	1567.683	-542.432	-294.436	1553.027	-589.756	-466.894	1423.300	-680.601	-387.063	1380.198	-654.942	-263.196	1294.517	-875.500
1427	14.26000	-375.874	1563.465	-539.644	-298.990	1549.577	-586.270	-469.918	1420.350	-680.328	-389.997	1377.325	-654.310	-263.451	1294.506	-875.584
1428	14.27000	-380.943	1559.233	-536.925	-303.408	1545.969	-582.772	-472.982	1417.336	-680.091	-393.199	1374.266	-653.707	-263.710	1294.501	-875.682
1429	14.28000	-385.883	1554.857	-534.237	-307.773	1542.225	-579.314	-476.056	1414.322	-679.882	-396.421	1371.144	-653.090	-264.009	1294.483	-875.804
1430	14.29000	-390.757	1550.438	-531.539	-312.052	1538.401	-575.863	-479.045	1411.358	-679.669	-399.605	1367.965	-652.477	-264.306	1294.484	-875.937
1431	14.30000	-395.476	1545.881	-528.773	-316.273	1534.479	-572.383	-481.988	1408.450	-679.456	-402.740	1364.831	-651.917	-264.607	1294.451	-876.066
1432	14.31000	-400.126	1541.201	-526.037	-320.390	1530.448	-568.957	-484.841	1405.554	-679.299	-405.764	1361.759	-651.429	-264.914	1294.434	-876.175
1433	14.32000	-404.668	1536.376	-523.351	-324.413	1526.298	-565.556	-487.646	1402.652	-679.121	-408.723	1358.671	-651.009	-265.271	1294.422	-876.283
1434	14.33000	-409.160	1531.416	-520.790	-328.391	1521.873	-562.229	-490.367	1399.674	-679.010	-411.688	1355.510	-650.631	-265.600	1294.435	-876.407
1435	14.34000	-413.632	1526.326	-518.326	-332.344	1517.209	-558.997	-493.091	1396.645	-678.953	-414.672	1352.104	-650.313	-265.883	1294.419	-876.529
1436	14.35000	-418.048	1521.168	-515.998	-336.220	1512.417	-555.882	-495.801	1393.477	-678.899	-417.705	1348.565	-650.036	-266.154	1294.437	-876.638
1437	14.36000	-422.393	1515.910	-513.715	-340.559	1507.047	-552.712	-498.467	1390.256	-678.958	-420.659	1344.892	-649.732	-266.431	1294.449	-876.761
1438	14.37000	-426.632	1510.512	-511.456	-344.355	1502.007	-549.661	-501.052	1387.033	-678.978	-423.565	1341.090	-649.447	-266.712	1294.443	-876.871
1439	14.38000	-430.754	1505.050	-509.225	-347.935	1496.951	-546.633	-503.540	1383.756	-678.998	-426.313	1337.382	-649.289	-267.015	1294.450	-876.969
1440	14.39000	-434.778	1499.501	-507.108	-351.524	1491.876	-543.757	-505.961	1380.458	-679.049	-429.002	1333.699	-649.231	-267.313	1294.429	-877.042
1441	14.40000	-438.743	1493.929	-505.068	-355.085	1486.594	-540.946	-508.297	1377.166	-679.139	-431.624	1330.021	-649.237	-267.630	1294.394	-877.120
1442	14.41000	-442.618	1488.255	-503.181	-358.594	1481.222	-538.204	-510.567	1373.746	-679.264	-434.137	1326.301	-649.262	-267.957	1294.348	-877.199
1443	14.42000	-446.382	1482.611	-501.535	-362.079	1475.679	-535.693	-512.841	1370.198	-679.410	-436.771	1322.516	-649.505	-268.224	1294.314	-877.283
1444	14.43000	-450.188	1476.678	-499.888	-365.551	1470.030	-533.282	-515.197	1366.596	-679.566	-439.282	1318.518	-649.712	-268.416	1294.240	-877.373
1445	14.44000	-453.913	1470.640	-498.231	-369.061	1464.206	-530.991	-517.531	1362.879	-679.834	-441.859	1314.426	-649.984	-268.581	1294.317	-877.432
1446	14.45000	-457.559	1464.537	-496.602	-372.413	1458.369	-528.739	-519.822	1359.169	-680.089	-444.413	1310.208	-650.271	-268.793	1294.287	-877.544
1447	14.46000	-461.174	1458.401	-494.970	-375.812	1452.627	-526.598	-522.010	1355.484	-680.337	-446.829	1306.103	-650.564	-269.036	1294.268	-877.652
1448	14.47000	-464.732	1452.180	-493.417	-379.138	1446.824	-524.433	-524.171	1351.786	-680.549	-449.093	1302.132	-650.875	-269.316	1294.212	-877.775
1449	14.48000	-468.198	1445.892	-491.883	-382.719	1440.906	-522.254	-526.247	1348.034	-680.750	-451.264	1298.134	-651.276	-269.581	1294.137	-877.897
1450	14.49000	-471.641	1439.577	-490.494	-385.980	1435.144	-520.370	-528.262	1344.244	-680.996	-453.363	1294.122	-651.700	-269.858	1294.070	-878.001
1451	14.50000	-475.051	1433.117	-489.233	-389.188	1429.339	-518.604	-530.303	1340.418	-681.276	-455.414	1290.099	-652.157	-270.076	1294.053	-878.082
1452	14.51000	-478.393	1426.637	-488.130	-392.344	1423.397	-516.973	-532.289	1336.544	-681.615	-457.509	1285.860	-652.788	-270.252	1294.031	-878.160
1453	14.52000	-481.665	1420.083	-487.153	-395.576	1417.391	-515.459	-534.270	1332.588	-682.069	-459.663	1281.455	-653.369	-270.373	1294.023	-878.237
1454	14.53000	-484.906	1413.488	-486.236	-398.600	1411.187	-513.999	-536.155	1328.667	-682.629	-461.682	1277.100	-654.178	-270.525	1293.988	-878.312
