FILE_VERSION	2.0.0
NO_OF_FRAMES	6129
NO_OF_CAMERAS	19
NO_OF_MARKERS	5
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2024-10-29, 10:57:32.417	441368.71789840
DATA_INCLUDED	3D
MARKER_NAMES	RWristOut	RWristIn	RElbowOut	RElbowIn	Chest
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	RWristOut X	RWristOut Y	RWristOut Z	RWristIn X	RWristIn Y	RWristIn Z	RElbowOut X	RElbowOut Y	RElbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	Chest X	Chest Y	Chest Z	
35	0.34000	-936.363	1275.150	-1002.602	-926.578	1260.977	-913.854	-733.006	1272.102	-1030.682	-736.604	1213.544	-953.759	-318.200	1298.313	-890.215
36	0.35000	-936.246	1275.079	-1002.523	-926.457	1260.988	-913.763	-732.907	1272.058	-1030.623	-736.474	1213.516	-953.668	-318.101	1298.294	-890.198
37	0.36000	-936.115	1275.026	-1002.448	-926.328	1261.017	-913.686	-732.781	1272.005	-1030.570	-736.349	1213.480	-953.596	-317.977	1298.294	-890.176
38	0.37000	-936.002	1274.990	-1002.394	-926.182	1261.017	-913.599	-732.670	1271.963	-1030.539	-736.235	1213.495	-953.524	-317.869	1298.269	-890.158
39	0.38000	-935.884	1274.947	-1002.330	-926.037	1261.048	-913.541	-732.550	1271.950	-1030.520	-736.101	1213.504	-953.484	-317.778	1298.256	-890.124
40	0.39000	-935.753	1274.929	-1002.288	-925.912	1261.066	-913.498	-732.432	1271.950	-1030.494	-735.951	1213.530	-953.448	-317.659	1298.243	-890.115
41	0.40000	-935.647	1274.909	-1002.256	-925.809	1261.075	-913.450	-732.312	1271.971	-1030.468	-735.828	1213.577	-953.401	-317.572	1298.222	-890.104
42	0.41000	-935.527	1274.895	-1002.239	-925.697	1261.111	-913.420	-732.220	1272.008	-1030.411	-735.692	1213.632	-953.338	-317.435	1298.218	-890.102
43	0.42000	-935.416	1274.863	-1002.220	-925.591	1261.130	-913.408	-732.099	1272.036	-1030.345	-735.562	1213.679	-953.278	-317.327	1298.195	-890.101
44	0.43000	-935.307	1274.857	-1002.245	-925.505	1261.189	-913.391	-731.985	1272.061	-1030.316	-735.445	1213.728	-953.206	-317.216	1298.188	-890.095
45	0.44000	-935.201	1274.865	-1002.242	-925.396	1261.235	-913.411	-731.865	1272.078	-1030.292	-735.347	1213.771	-953.152	-317.103	1298.206	-890.097
46	0.45000	-935.091	1274.899	-1002.254	-925.327	1261.297	-913.400	-731.757	1272.071	-1030.307	-735.248	1213.815	-953.121	-317.014	1298.203	-890.097
47	0.46000	-934.988	1274.934	-1002.257	-925.214	1261.381	-913.412	-731.655	1272.077	-1030.308	-735.149	1213.859	-953.104	-316.939	1298.223	-890.087
48	0.47000	-934.917	1274.985	-1002.262	-925.107	1261.473	-913.428	-731.558	1272.061	-1030.315	-735.059	1213.912	-953.104	-316.856	1298.231	-890.109
49	0.48000	-934.813	1275.025	-1002.271	-925.018	1261.559	-913.453	-731.489	1272.065	-1030.352	-734.986	1213.978	-953.094	-316.785	1298.230	-890.110
50	0.49000	-934.737	1275.068	-1002.310	-924.921	1261.684	-913.450	-731.398	1272.058	-1030.372	-734.916	1214.025	-953.096	-316.717	1298.242	-890.126
51	0.50000	-934.655	1275.092	-1002.342	-924.859	1261.780	-913.470	-731.309	1272.072	-1030.416	-734.858	1214.085	-953.068	-316.641	1298.244	-890.154
52	0.51000	-934.581	1275.119	-1002.375	-924.778	1261.846	-913.492	-731.246	1272.093	-1030.437	-734.785	1214.124	-953.093	-316.575	1298.241	-890.182
53	0.52000	-934.481	1275.149	-1002.415	-924.732	1261.937	-913.503	-731.160	1272.124	-1030.453	-734.711	1214.151	-953.091	-316.509	1298.237	-890.190
54	0.53000	-934.409	1275.190	-1002.467	-924.653	1261.984	-913.577	-731.077	1272.157	-1030.468	-734.627	1214.188	-953.131	-316.431	1298.231	-890.209
55	0.54000	-934.349	1275.257	-1002.526	-924.599	1262.043	-913.634	-731.011	1272.196	-1030.491	-734.581	1214.217	-953.156	-316.371	1298.225	-890.226
56	0.55000	-934.284	1275.335	-1002.566	-924.560	1262.090	-913.688	-730.945	1272.221	-1030.529	-734.532	1214.272	-953.165	-316.301	1298.219	-890.239
57	0.56000	-934.239	1275.427	-1002.640	-924.526	1262.161	-913.745	-730.893	1272.272	-1030.549	-734.501	1214.321	-953.199	-316.242	1298.227	-890.242
58	0.57000	-934.182	1275.511	-1002.681	-924.486	1262.241	-913.803	-730.858	1272.301	-1030.585	-734.482	1214.370	-953.243	-316.172	1298.216	-890.261
59	0.58000	-934.130	1275.593	-1002.776	-924.434	1262.321	-913.886	-730.794	1272.340	-1030.635	-734.445	1214.420	-953.267	-316.120	1298.216	-890.266
60	0.59000	-934.079	1275.639	-1002.841	-924.403	1262.406	-913.961	-730.738	1272.334	-1030.677	-734.394	1214.463	-953.277	-316.058	1298.210	-890.274
61	0.60000	-934.024	1275.660	-1002.927	-924.366	1262.525	-914.017	-730.698	1272.341	-1030.706	-734.349	1214.514	-953.299	-316.026	1298.197	-890.292
62	0.61000	-933.990	1275.653	-1003.002	-924.347	1262.615	-914.098	-730.649	1272.332	-1030.757	-734.319	1214.535	-953.308	-315.981	1298.179	-890.289
63	0.62000	-933.934	1275.647	-1003.098	-924.325	1262.692	-914.155	-730.599	1272.352	-1030.789	-734.293	1214.572	-953.293	-315.927	1298.161	-890.307
64	0.63000	-933.903	1275.681	-1003.148	-924.296	1262.701	-914.218	-730.561	1272.413	-1030.827	-734.253	1214.613	-953.325	-315.880	1298.148	-890.302
65	0.64000	-933.866	1275.748	-1003.194	-924.275	1262.709	-914.268	-730.520	1272.493	-1030.845	-734.221	1214.642	-953.363	-315.858	1298.139	-890.303
66	0.65000	-933.837	1275.840	-1003.231	-924.245	1262.716	-914.321	-730.489	1272.537	-1030.883	-734.223	1214.638	-953.466	-315.806	1298.134	-890.307
67	0.66000	-933.784	1275.923	-1003.262	-924.219	1262.703	-914.359	-730.447	1272.608	-1030.929	-734.191	1214.639	-953.552	-315.774	1298.129	-890.300
68	0.67000	-933.747	1275.981	-1003.311	-924.180	1262.722	-914.418	-730.405	1272.651	-1030.987	-734.173	1214.624	-953.624	-315.752	1298.115	-890.298
69	0.68000	-933.701	1276.001	-1003.365	-924.132	1262.737	-914.478	-730.351	1272.606	-1031.012	-734.122	1214.622	-953.655	-315.725	1298.124	-890.291
70	0.69000	-933.681	1275.948	-1003.420	-924.115	1262.759	-914.496	-730.302	1272.554	-1031.057	-734.086	1214.618	-953.691	-315.700	1298.110	-890.301
71	0.70000	-933.654	1275.833	-1003.466	-924.097	1262.750	-914.550	-730.283	1272.471	-1031.096	-734.053	1214.579	-953.693	-315.695	1298.108	-890.306
72	0.71000	-933.640	1275.705	-1003.528	-924.077	1262.739	-914.567	-730.264	1272.368	-1031.112	-734.019	1214.558	-953.654	-315.680	1298.110	-890.341
73	0.72000	-933.633	1275.564	-1003.573	-924.064	1262.646	-914.614	-730.268	1272.318	-1031.135	-734.003	1214.518	-953.638	-315.685	1298.119	-890.371
74	0.73000	-933.625	1275.524	-1003.606	-924.040	1262.540	-914.645	-730.250	1272.283	-1031.162	-733.983	1214.485	-953.698	-315.667	1298.130	-890.395
